date,cyclists
12/18/2014,570
12/19/2014,873
12/20/2014,258
12/21/2014,460
12/22/2014,943
12/23/2014,556
12/24/2014,680
12/25/2014,270
12/26/2014,327
12/27/2014,335
12/28/2014,479
12/29/2014,584
12/30/2014,700
12/31/2014,681
1/1/2015,435
1/2/2015,467
1/3/2015,505
1/4/2015,139
1/5/2015,732
1/6/2015,1228
1/7/2015,1333
1/8/2015,1376
1/9/2015,1258
1/10/2015,498
1/11/2015,465
1/12/2015,1330
1/13/2015,1400
1/14/2015,1327
1/15/2015,1205
1/16/2015,1287
1/17/2015,472
1/18/2015,210
1/19/2015,1365
1/20/2015,1401
1/21/2015,1350
1/22/2015,974
1/23/2015,866
1/24/2015,370
1/25/2015,769
1/26/2015,1332
1/27/2015,1457
1/28/2015,1388
1/29/2015,1542
1/30/2015,1344
1/31/2015,784
2/1/2015,385
2/2/2015,1085
2/3/2015,1278
2/4/2015,1188
2/5/2015,851
2/6/2015,715
2/7/2015,396
2/8/2015,820
2/9/2015,489
2/10/2015,1430
2/11/2015,1526
2/12/2015,1150
2/13/2015,1121
2/14/2015,984
2/15/2015,1234
2/16/2015,1559
2/17/2015,1704
2/18/2015,1592
2/19/2015,1128
2/20/2015,1269
2/21/2015,1415
2/22/2015,1166
2/23/2015,1618
2/24/2015,1704
2/25/2015,1322
2/26/2015,1201
2/27/2015,825
2/28/2015,1269
3/1/2015,1068
3/2/2015,1614
3/3/2015,1761
3/4/2015,1683
3/5/2015,1583
3/6/2015,1490
3/7/2015,1498
3/8/2015,1409
3/9/2015,1631
3/10/2015,1610
3/11/2015,1393
3/12/2015,1561
3/13/2015,1453
3/14/2015,564
3/15/2015,179
3/16/2015,1454
3/17/2015,1724
3/18/2015,1815
3/19/2015,1189
3/20/2015,1043
3/21/2015,936
3/22/2015,909
3/23/2015,1464
3/24/2015,1815
3/25/2015,1170
3/26/2015,1786
3/27/2015,1688
3/28/2015,993
3/29/2015,380
3/30/2015,1833
3/31/2015,1628
4/1/2015,1526
4/2/2015,1516
4/3/2015,905
4/4/2015,1021
4/5/2015,1206
4/6/2015,1288
4/7/2015,1993
4/8/2015,2089
4/9/2015,2046
4/10/2015,1242
4/11/2015,966
4/12/2015,1118
4/13/2015,1240
4/14/2015,1795
4/15/2015,1824
4/16/2015,2021
4/17/2015,1903
4/18/2015,1625
4/19/2015,1757
4/20/2015,2311
4/21/2015,1832
4/22/2015,1972
4/23/2015,1410
4/24/2015,1363
4/25/2015,999
4/26/2015,1052
4/27/2015,1764
4/28/2015,1780
4/29/2015,2085
4/30/2015,1955
5/1/2015,1920
5/2/2015,1685
5/3/2015,1784
5/4/2015,2078
5/5/2015,1791
5/6/2015,2185
5/7/2015,2414
5/8/2015,2240
5/9/2015,1863
5/10/2015,1458
5/11/2015,1997
5/12/2015,2157
5/13/2015,2054
5/14/2015,2227
5/15/2015,2055
5/16/2015,1557
5/17/2015,1835
5/18/2015,2087
5/19/2015,2431
5/20/2015,2721
5/21/2015,2405
5/22/2015,2041
5/23/2015,1681
5/24/2015,1741
5/25/2015,3169
5/26/2015,2882
5/27/2015,3180
5/28/2015,2943
5/29/2015,2911
5/30/2015,1910
5/31/2015,1540
6/1/2015,2137
6/2/2015,2073
6/3/2015,2296
6/4/2015,2490
6/5/2015,2448
6/6/2015,2021
6/7/2015,2168
6/8/2015,2728
6/9/2015,2805
6/10/2015,2713
6/11/2015,2527
6/12/2015,2329
6/13/2015,1907
6/14/2015,1887
6/15/2015,2683
6/16/2015,2637
6/17/2015,2756
6/18/2015,2196
6/19/2015,2136
6/20/2015,2033
6/21/2015,2594
6/22/2015,2502
6/23/2015,2613
6/24/2015,2475
6/25/2015,2876
6/26/2015,2412
6/27/2015,1772
6/28/2015,1449
6/29/2015,2558
6/30/2015,2637
7/1/2015,2783
7/2/2015,2562
7/3/2015,2405
7/4/2015,2088
7/5/2015,1752
7/6/2015,2466
7/7/2015,2574
7/8/2015,2737
7/9/2015,2660
7/10/2015,2318
7/11/2015,1476
7/12/2015,1586
7/13/2015,2561
7/14/2015,2842
7/15/2015,2709
7/16/2015,2758
7/17/2015,2426
7/18/2015,2128
7/19/2015,2070
7/20/2015,2384
7/21/2015,2534
7/22/2015,2748
7/23/2015,2566
7/24/2015,1042
7/25/2015,1509
7/26/2015,1649
7/27/2015,2585
7/28/2015,2763
7/29/2015,2920
7/30/2015,2663
7/31/2015,2342
8/1/2015,1907
8/2/2015,1998
8/3/2015,1959
8/4/2015,2465
8/5/2015,1928
8/6/2015,2453
8/7/2015,2384
8/8/2015,1401
8/9/2015,1786
8/10/2015,2329
8/11/2015,2861
8/12/2015,3073
8/13/2015,2635
8/14/2015,1574
8/15/2015,1530
8/16/2015,1882
8/17/2015,2494
8/18/2015,2772
8/19/2015,2704
8/20/2015,2624
8/21/2015,2360
8/22/2015,1968
8/23/2015,1870
8/24/2015,2433
8/25/2015,2593
8/26/2015,2523
8/27/2015,2463
8/28/2015,1564
8/29/2015,637
8/30/2015,1505
8/31/2015,1285
9/1/2015,1896
9/2/2015,1557
9/3/2015,1604
9/4/2015,1852
9/5/2015,1625
9/6/2015,993
9/7/2015,1737
9/8/2015,2096
9/9/2015,2477
9/10/2015,2560
9/11/2015,2165
9/12/2015,1638
9/13/2015,1465
9/14/2015,1937
9/15/2015,2241
9/16/2015,2120
9/17/2015,1863
9/18/2015,1569
9/19/2015,970
9/20/2015,681
9/21/2015,2047
9/22/2015,2374
9/23/2015,2241
9/24/2015,1666
9/25/2015,1442
9/26/2015,1407
9/27/2015,1410
9/28/2015,2059
9/29/2015,2287
9/30/2015,2174
10/1/2015,2060
10/2/2015,1776
10/3/2015,1604
10/4/2015,1488
10/5/2015,2014
10/6/2015,2050
10/7/2015,1222
10/8/2015,1605
10/9/2015,1565
10/10/2015,596
10/11/2015,1032
10/12/2015,365
10/13/2015,1844
10/14/2015,2098
10/15/2015,2056
10/16/2015,2111
10/17/2015,1013
10/18/2015,1093
10/19/2015,1538
10/20/2015,2014
10/21/2015,1664
10/22/2015,1793
10/23/2015,1697
10/24/2015,957
10/25/2015,805
10/26/2015,1600
10/27/2015,2112
10/28/2015,1268
10/29/2015,1463
10/30/2015,1125
10/31/2015,302
11/1/2015,401
11/2/2015,1840
11/3/2015,1983
11/4/2015,1776
11/5/2015,1740
11/6/2015,1286
11/7/2015,392
11/8/2015,735
11/9/2015,1692
11/10/2015,1577
11/11/2015,996
11/12/2015,1108
11/13/2015,929
11/14/2015,441
11/15/2015,806
11/16/2015,1205
11/17/2015,703
11/18/2015,1456
11/19/2015,1603
11/20/2015,1375
11/21/2015,922
11/22/2015,869
11/23/2015,1170
11/24/2015,1330
11/25/2015,1443
11/26/2015,1425
11/27/2015,1151
11/28/2015,620
11/29/2015,516
11/30/2015,1140
12/1/2015,1269
12/2/2015,1332
12/3/2015,957
12/4/2015,1149
12/5/2015,223
12/6/2015,595
12/7/2015,1122
12/8/2015,976
12/9/2015,985
12/10/2015,868
12/11/2015,1294
12/12/2015,298
12/13/2015,250
12/14/2015,1299
12/15/2015,1206
12/16/2015,1345
12/17/2015,833
12/18/2015,936
12/19/2015,532
12/20/2015,473
12/21/2015,735
12/22/2015,799
12/23/2015,547
12/24/2015,543
12/25/2015,266
12/26/2015,330
12/27/2015,195
12/28/2015,560
12/29/2015,810
12/30/2015,835
12/31/2015,694
1/1/2016,394
1/2/2016,416
1/3/2016,376
1/4/2016,974
1/5/2016,964
1/6/2016,1347
1/7/2016,1277
1/8/2016,1258
